breakout_window,atr_buffer,atr_stop_multiple,trend_ema_period,volume_spike_multiplier,final_equity,total_return_pct,max_drawdown_pct,total_trades,win_rate_pct
60,0.5,1.2,80,2.5,25243.99,152.44,18.26,40,45.00
60,0.5,1.2,80,3.0,34838.43,248.38,13.61,43,51.16
60,0.5,1.2,80,3.5,33411.16,234.11,17.68,50,46.00
60,0.5,1.2,100,2.5,25243.99,152.44,18.26,40,45.00
60,0.5,1.2,100,3.0,34838.43,248.38,13.61,43,51.16
60,0.5,1.2,100,3.5,33411.16,234.11,17.68,50,46.00
60,0.5,1.5,60,2.5,28306.37,183.06,16.15,38,39.47
60,0.5,1.5,60,3.0,39101.62,291.02,10.53,41,43.90
60,0.5,1.5,60,3.5,33893.07,238.93,18.37,48,39.58
60,0.5,1.5,80,2.5,28306.37,183.06,16.15,38,39.47
60,0.5,1.5,80,3.0,39101.62,291.02,10.53,41,43.90
60,0.5,1.5,80,3.5,33893.07,238.93,18.37,48,39.58
60,0.5,1.5,100,2.5,28306.37,183.06,16.15,38,39.47
60,0.5,1.5,100,3.0,39101.62,291.02,10.53,41,43.90
60,0.5,1.5,100,3.5,33893.07,238.93,18.37,48,39.58
60,0.6,1.0,60,2.5,31170.33,211.70,13.32,40,60.00
60,0.6,1.0,60,3.0,43658.18,336.58,7.34,43,65.12
60,0.6,1.0,60,3.5,42122.54,321.23,9.61,50,60.00
60,0.6,1.0,80,2.5,31170.33,211.70,13.32,40,60.00
60,0.6,1.0,80,3.0,43658.18,336.58,7.34,43,65.12
60,0.6,1.0,80,3.5,42122.54,321.23,9.61,50,60.00
60,0.6,1.0,100,2.5,31170.33,211.70,13.32,40,60.00
60,0.6,1.0,100,3.0,43658.18,336.58,7.34,43,65.12
60,0.6,1.0,100,3.5,42122.54,321.23,9.61,50,60.00
60,0.6,1.2,60,2.5,28076.22,180.76,15.90,37,45.95
60,0.6,1.2,60,3.0,38747.10,287.47,15.50,40,52.50
60,0.6,1.2,60,3.5,36106.71,261.07,19.43,47,46.81
60,0.6,1.2,80,2.5,28076.22,180.76,15.90,37,45.95
60,0.6,1.2,80,3.0,38747.10,287.47,15.50,40,52.50
60,0.6,1.2,80,3.5,36106.71,261.07,19.43,47,46.81
60,0.6,1.2,100,2.5,28076.22,180.76,15.90,37,45.95
60,0.6,1.2,100,3.0,38747.10,287.47,15.50,40,52.50
60,0.6,1.2,100,3.5,36106.71,261.07,19.43,47,46.81
60,0.6,1.5,60,2.5,30672.80,206.73,16.15,35,40.00
60,0.6,1.5,60,3.0,42370.54,323.71,8.20,38,44.74
60,0.6,1.5,60,3.5,35685.84,256.86,18.39,45,40.00
60,0.6,1.5,80,2.5,30672.80,206.73,16.15,35,40.00
60,0.6,1.5,80,3.0,42370.54,323.71,8.20,38,44.74
60,0.6,1.5,80,3.5,35685.84,256.86,18.39,45,40.00
60,0.6,1.5,100,2.5,30672.80,206.73,16.15,35,40.00
60,0.6,1.5,100,3.0,42370.54,323.71,8.20,38,44.74
60,0.6,1.5,100,3.5,35685.84,256.86,18.39,45,40.00
80,0.4,1.0,60,2.5,21578.92,115.79,19.15,45,46.67
80,0.4,1.0,60,3.0,24223.56,142.24,20.07,49,48.98
80,0.4,1.0,60,3.5,24256.60,142.57,22.73,57,45.61
80,0.4,1.0,80,2.5,21578.92,115.79,19.15,45,46.67
80,0.4,1.0,80,3.0,24223.56,142.24,20.07,49,48.98
80,0.4,1.0,80,3.5,24256.60,142.57,22.73,57,45.61
80,0.4,1.0,100,2.5,21578.92,115.79,19.15,45,46.67
80,0.4,1.0,100,3.0,24223.56,142.24,20.07,49,48.98
80,0.4,1.0,100,3.5,24256.60,142.57,22.73,57,45.61
80,0.4,1.2,60,2.5,20115.32,101.15,21.19,42,38.10
80,0.4,1.2,60,3.0,22201.19,122.01,22.55,46,41.30
80,0.4,1.2,60,3.5,21486.61,114.87,27.06,54,38.89
80,0.4,1.2,80,2.5,20115.32,101.15,21.19,42,38.10
80,0.4,1.2,80,3.0,22201.19,122.01,22.55,46,41.30
80,0.4,1.2,80,3.5,21486.61,114.87,27.06,54,38.89
80,0.4,1.2,100,2.5,20115.32,101.15,21.19,42,38.10
80,0.4,1.2,100,3.0,22201.19,122.01,22.55,46,41.30
80,0.4,1.2,100,3.5,21486.61,114.87,27.06,54,38.89
80,0.4,1.5,60,2.5,22998.50,129.98,25.47,39,35.90
80,0.4,1.5,60,3.0,25407.31,154.07,25.47,43,37.21
80,0.4,1.5,60,3.5,22224.58,122.25,27.96,51,35.29
80,0.4,1.5,80,2.5,22998.50,129.98,25.47,39,35.90
80,0.4,1.5,80,3.0,25407.31,154.07,25.47,43,37.21
80,0.4,1.5,80,3.5,22224.58,122.25,27.96,51,35.29
80,0.4,1.5,100,2.5,22998.50,129.98,25.47,39,35.90
80,0.4,1.5,100,3.0,25407.31,154.07,25.47,43,37.21
80,0.4,1.5,100,3.5,22224.58,122.25,27.96,51,35.29
80,0.5,1.0,60,2.5,26330.26,163.30,13.45,38,52.63
80,0.5,1.0,60,3.0,31307.74,213.08,14.44,41,56.10
80,0.5,1.0,60,3.5,31087.44,210.87,19.20,48,52.08
80,0.5,1.0,80,2.5,26330.26,163.30,13.45,38,52.63
